speaker,words,tags,timestamp
SS,Uiere they packing this in big boxes?,,
FB,yell ordinary apple boxes that you see no.. And pear lugs. we always called,,
FB,"around in the stores now, the big boxes. Idon't knew ho. much, 40 lbs. they",,
FB,"Might?! think Carlson has an ad in the paper, S3.00 for a40 lb. box of",,
FB,"apples.Out, that's out Troy, you know^arlaons? That's Connie Sheflin's uncle,",,
FB,you know.,,
SS,That's right. Do you remember what you got for packing?,,
FB,"Yes, Ithink ID and 12 cents a box was pretty good.",,
FB,SSk How many of those could you pack?,,
FB,"Well, some people, could, good packers packed 100. They figured to make 10",,
FB,dollars aday. But Iexpect 75  kids' limit.,,
SS,E^en that sounds good.,,
FB,"Yeah, it was pretty good for them days, it was pretty good for them days.",,
SS,"Working in the peas and packing, did you have much time for socializing, was",,
SS,there break time?,,
FB,In the pea  we  You could go get you,,
FB,"acup of coffee or anything in^five minutes, every hour.",,
SS,Was that enough?,,
FB,Yeah. Enough.,,
SS,You needed that break time.,,
FB,"Yeah, you could...",,
SS,To get away from it.,,
FB,"Right. Um-hm. And the packing, Idon't remember what we done, the packin' when",,
FB,"yeu was on your own, you could leave year stand and go any place you wanted",,
FB,"for alittle bit, 1suppose. Isuppose if you stayed away too long you'd be",,
FB,"fired, I can't remember that, but...",,
SS,That's because it was however much...,,
FB,"Yeah, that was our own lookout, we tried to pack as many as we could, you know.",,
FB,So I suppose we didn't kill much time.,,
SS,"I would think that the work in the peas would be hard, the tediousness.",,
FB,"It was, but you got , the women all that worked most of 'em had families,",,
FB,"and I can remember hearing them, what they'd done over the weekend, Saturday",,
FB,and Sunday. They'd say we come back to pick peas to rest up. We rest the rest,,
FB,of the week and then we wash and iron and cook and get ready for the next week.,,
FB,And I'm sure that's what we all done.,,
SS,You mean you actually worked harder on the weekend?,,
FB,"On the weekends, sure. Ttoat was sittin' you know. And it was kinda boring but",,
FB,"then, it wasn't hard work.",,
SS,Would it hurt people's backs?,,
FB,"Oh some people complained here and there, but I don't think it ever hurt'em.",,
SS,Or their eyes?,,
FB,"Well, it might have been hard on their eyes. Some people who didn't have good",,
FB,"eyes. Yes it might have been, but I didn't know anybody that oouldn't pick",,
FB,peas in them days. They all could.,,
SS,But working on the weekends at home. That makes it sounds like a 7 day work,,
SS,week.,,
FB,"Well, it was a pretty good, but then, that was different and they say a vacation",,
FB,is anything different. It relaxed you to do the different kinds of things that,,
FB,you had to do. Course some of 'em didn't do anything over the weekend but,,
FB,most that I knew had families and somebody at home. So...,,
SS,Do you think that most of those people that did that picking that it was,,
SS,necessary to have work for the family income?,,
FB,"It's extra. Sure it was. And quite a few were widows, maybe their husbands",,
FB,"had passed away. But a lot of tymes husband would work there too, she",,
FB,would work in the packin' room and he would be damn emptying sacks of peas,,
FB,or something. I know lots of 'em had their husbands work too. I don't think,,
FB,"they had to work as much as they do now. They got so they, they didn't need",,
FB,"as much quite as thev do now. You know, live simples* Now people start out",,
FB,when they get married with more than their mothers ever had. Or think they,,
FB,"have to have in the house, more. I think that's a lot of it.",,
SS,So that wasn't.,,
FB,"Tht was extra money for extra things, I think.",,
SS,You said sending the boye to college.,,
FB,"Um-hm, that was a lot of it. I think Agnes put half a dozen boys through the",,
FB,"university picking peas. I guess her husband worked too, but I can't remember",,
FB,"that, oh they were just common, ordinary workin' people, didn't have any land",,
FB,"or anything, woEkad in town and she got started to doin' that and every year",,
FB,"and then it got pretty good along after, when I first started we didn't get",,
FB,"any unemployment, and that got to be quite a racket then. You could draw almost",,
FB,"all summer what you'd made in the winter.'Cause it was, that was the good thing",,
FB,"about pickin' peas. When you were out of a job, it was seasonal work, then",,
FB,"you could go on drawin' I guess about half you made, didn't ya, something",,
FB,like rules about it.,,
SS,How many months were you laid off?,,
FB,Well we'd probably begin about time school started and then probably end up,,
FB,6 months or 7 months. So all summer was off. Well then the unemployment lasted,,
FB,"most of the summer. Like these fellas, a.lot of these fellas now around do",,
FB,that.,,
SS,It seems pretty good.,,
FB,"Well its pretty good if the government just holds out, that's(laughs) some",,
FB,"of these old ladies that we know get so stingy, I said, you better get a little",,
FB,"money in circulation when bhe government gets to keepin! all of us, why",,
FB,"got to get rid of a little money some way. But what I say don't amount to mu6h,",,
FB,but(laughs) that's one way of thinkin' about it.Don't want to put it all in,,
FB,"the bank, you better keep a little in circulation.",,
SS,I think these days a lot of people feel that both partners have to work.,,
FB,"Yes, I'm sure they do. Well it's got to costing so much to got to college and",,
FB,"things. And to keep up with the 3oneses, why its a struggle. Well you better",,
FB,I usually have the floor She talks pretty good when I ain*t around.,,
SS,I want to talkt to you about your experience in nursing.,,
FB,Did she ever talk to Laura much about that?(Laura is Sam's wife).,,
SS,"No, when we were here last time we talked a bit about WWI. But I thought",,
SS,you could tell me what that was like. Had you been a nurse for long before,,
SS,you went over seas?,,
FB,"Oh, 3 years. I nursed in yf hospital where I graduated from, just taking",,
FB,"special cases. And then I worked in a shipyard for about a year, emergency",,
FB,work'fore I went over.,,
SS,Which hospital was it that you started?,,
FB,St. Vincent's in Portland.,,
FB,That wasn't where you started.,,
FB,"I started down in Coos Bay. never worked down there, I just training",,
FB,"and I didn't like it very well, so I quit.",,
SS,"Is that where you went, to Coos Bay for your training?",,
FB,"I went there, my sister and her husband lived there and I just went there to",,
FB,"stay with her awhile, fly first baby was born and then ,.she didn't need",,
FB,"me anymore, why I thought I had to do something so I went out and got a job",,
FB,"and went in trainigiand stayed there I gdess, six months probably. And I",,
FB,"decided I didn't like it, so I quit and I just did practical nursing for a",,
FB,little while. And then I come up to Portland.,,
SS,"What was it that you didn't like about it in Coos Bay? ,„",,
FB,"Oh I don't know, I just didn't like a little",,
FB,"special I didn't like about the nursing, but Ijust didn't like the place.",,
SS,Were you a trained nurse when you went to Coos Bay or...,,
FB,Oh no.,,
SS,"But you could learn it in a hospital then, hey?",,
FB,Well that's what I went in for. And quit.and got married and I wasn't §onna,,
FB,"nurse anymore and then when I oh, they was talkin' about war and everything",,
FB,"and I decided I'd go back in and finish it, so I did.",,
SS,I heard that nurses worked awfully hard.,,
FB,We did. We worked about 12 hours a day and every day. Sunday and everything.,,
FB,Nothing like they do now.,,
SS,That's an 84 hour work week. About twice as long as you would now.,,
FB,"Course after a little while at St. Vincent's and I finished my training, why",,
FB,"then I just worked. Then we got a case, we worked 8 hours a day.",,
SS,"What do you mean, when you got a case? When they would call you in?",,
FB,"Yeah, most of the time. Sometimes we'd get a few days off and we'd go out to",,
FB,the beach so we wouldn't get called again.,,
SS,"Why were they doing it that way, special cases? Were you working temporary?",,
FB,Only just as long as we needed it. Doctor would call for a special nurse and,,
FB,we'd go and...,,
FB,"Yeah, but you worked all the time, you was in the hospital when you wasn't",,
FB,"out on a special case, your time went on in the hospital, just didn't.",,
FB,After we got out. After we got out we was away from the hospital entirely.,,
FB,Sometimes we got called on a case in the hospital. Mostly,,
SS,What was the nurse's responsibility then?,,
FB,"Oh, whatever was needed, whatever medication they had to have, whatever we",,
FB,had to do for 'em. Every case would be different. There was no special things,,
FB,"we had to do, we just had to do what was necessary to do for sick person.",,
FB,"I think maybe people didn't always go bo the hospital, now you can't hardly",,
FB,"get a nurse, you know, private nurse...",,
FB,Hardly anybody that was gonna have a baby would go to a hospital. They'd call,,
FB,a doctor and a nurse to^nome.,,
FB,"It was a lot different than now a days, that's why she was out, I suppose on",,
FB,the special cases.,,
FB,"Once I went with a doctor who was called to go, this was in Coos Bay when Iy",,
FB,"after I Quit nursing, after I quit the training, but was still nursing. And",,
FB,"we decided, had to go on a boat and then up to one of the sloughs were she",,
FB,was gonna have a baby and got off the boat and it was about 11 o'clock at night,,
FB,"and I got out, it was raining hard and I got off the boat and there was just",,
FB,alittle plank! I had to go up and I look back and here the doctor eas in,,
FB,"the water, clear up to his neck.He had walked right off the boat into",,
FB,"the water, he didn't get onto the plank at all.So we had quite an excitement",,
FB,that night. Gettin' him some dry clothes to wear.,,
FB,He was worse off then the woman havin' the baby probably.(laughs),,
FB,"It was more excitement, yes. The baby was born when we got there, but we had",,
FB,to dry him out and get him warmed up.,,
SS,The baby was already born? Who delivered the baby?,,
FB,"Oh he did. After he got out he was?alright, we got him some clean clothes,",,
FB,got him some dry clothes and he shivered around jjftie fireplace for awhile and,,
FB,then he was pretty good.,,
SS,Do you think you ihad a lot more responsibility than a nurse would have today?,,
FB,"Mo, I don't know of any more responsiblity, but I think it was hardwork, more.",,
FB,Longer hours and I did lots of things that the nurses don't do now like making,,
FB,"the beds and things like that. They have aides to do, we did all o'f that then.",,
SS,Were you very close tfet the other nurses? Was there like a group of people that,,
SS,worked together that would associate a lot?,,
FB,"Oh yes, that's all we did associate with while I was in training. We didn't",,
FB,hardly anybody else.,,
FB,Catholic hospital.,,
FB,After I got out I lived with 4 nurses in an apartment. We just take cases from,,
FB,there.,,
SS,I heard the pay wasn't too good for nurses.,,
FB,"No, not near as good as'tis now. They get about as much for 8 hours as we",,
FB,did for the whole time.,,
FB,"Oh, I think more, probably for your 8 hours.",,
FB,I think 12 dollars a day wasN~much as ws ever did get.,,
SS,Did you find the work exhaustin§? Or did you have energy left after your day?,,
FB,"Yes, we went to the beach when we had aday off or two days off. We'd",,
FB,go down to the beach and swim and have agood time. Seaside was agreat place vtfa,,
FB,ue went. Swimming pool and...,,
SS,Do you think the doctors had alot of respect for the nurses then?,,
FB,Oh Ithink it was about the same as  much difference.,,
FB,It didn't make any difference.,,
SS,Did it make alot of difference to the family income that you  eworking?,,
OB,"Oh, yes, of course. Better. Like it'tis now, it takes two to make aliving",,
OB,sometimes.,,
SS,What was your husband doing?,,
FB,Ireally didn't live with my husband for about 7years. Ue were separated.,,
FB,"Never divorced, were just separated;, though. So while Iwas in the army",,
FB,I was separated from...,,
SS,Iheard that in those days there was alet more opposition to divorce than,,
SS,there is today.,,
FB,Yes there was. Some place they wouldn't take 'em in training if they were,,
FB,married. But they did me. I didn't have any trouble gettin' in the army.,,
SS,Had the war started when you got in the army?,,
FB,"Yes, I wasn't in til 117. Last part of the war.",,
SS,How did you sign up.,,
FB,"Well they just asked us all, come up to the hospital and asked us all to sign",,
FB,"All that wanted to, and so Idid. There was lots of 'em that didn't There",,
FB,"was only about ten from my bunch, ;Aones that graduated with me that went",,
FB,out of 35.,,
SS,What made you decide you wanted to?,,
FB,"Oh, I don't know.",,
SS,Did you feel patriotic?,,
FB,just the excitement Iguess and wantin' to go. And after Isighed up then I,,
FB,got aork in the emergency hospital in the shipyard where they were making,,
FB,ships. Iwas there for ayear. Anybody'd get afinger hurt or needed alittle,,
FB,"medicine or something, I'd, I was the only one there, just emergency nurse,",,
FB,"each hospital, each shipyard had to have.",,
SS,Were there serious injuries that you saw in the shipyard?,,
FB,"Serious accidents? Oh yeah, if they were terribly serious, why we just put",,
FB,'em ftn the ambulance and send 'em into town. Those that were just a sprain,,
FB,"or something like that, why we took care of*'em.",,
SS,Was there a doctor there too?,,
FB,No.,,
SS,3ust you.,,
DB,3ust me.,,
SS,Well that sounds like a lot of responsibility.,,
FB,It was a lot of responsibility.,,
SS,Did they have an infirmiry or just an office?,,
FB,3ust an office. If they were bad enough to need a leg taken off or something,,
FB,"like that well we sent 'em, just put a tournequet on or whatever was necessary",,
FB,and sent 'em into the hospital.,,
SS,There was a lot of activity there in those shipyards.,,
FB,Yes.,,
SS,How was it decided that you were going to go overseas?,,
FB,"The hospital foreman, the base hospital 46 formed there, they were all Portland",,
FB,doctors and they just called the nurses hospital unit. There was 100,,
FB,"nurses and I don't remember, about 75 doctors. And a lot of . They",,
FB,just formed a hospital and went.,,
SS,Went where?,,
FB,"We went right over to, oh well there was, see about 10 of us went to North",,
FB,Carolina first. And we were there in a hospital for three months and then we,,
FB,went to New York and we was there for quite a while and then and shipped us,,
FB,over whenever there was a boat. I don't know how many(Unintelligable for background,,
FB,conversation),,
SS,"What kind of setup did you have in Europe, what kind of a hospital did they",,
SS,put you in? harranks. We want to a little called(?) down in the southern part,,
SS,"I think three different hospitals there, two big hospitals, ours was one of",,
SS,them and we all went there. And they had barracks. .barracks had about 10,,
SS,"or 12 patients and we were in a ward there, just like we would be in a",,
SS,"hospital. Took care of the war. And then I was out with the field hospital,",,
SS,just an operating team. We went out right behind the lines and just did operating,,
SS,and sent 'em right back. We didn't have any beds or anything like that. Put,,
SS,'em on operating table and operated and then send 'em on back to the hospital.,,
SS,That was called field hospital.,,
SS,(end of side A),,
FB,And send 'em back to the base hospital.,,
SS,So the emergency hospital was the one with the barracks? When you were at,,
SS,"the field hospital, you stayed there and slept there? What kind of quarters",,
SS,"was that, just tent?",,
FB,Well whatever they could give us. Sometimes it was in an old hospital or church,,
FB,"or something. Sometimes, just right out in the open and just set up our tents.",,
FB,"Sometimes they, well, always operated in tents. jUst put up the tent and...",,
SS,So...,,
FB,Fix an operating room.,,
SS,How big was the staff at the field hospital?,,
FB,Two doctors and two nurses^each operating team. And some boys to fix up the,,
FB,tents and do things like that. And take care of all those strecbters and all,,
FB,that.,,
SS,The men that came in there must have been pretty bad shape.,,
FB,"They didn't leave any that wasn't. If they were able to go on back, why they",,
FB,just went right back to the base hospital. 3ust the ones that we took out shells,,
FB,"and things like that, emergency work.(Noisy in background.) Sometimes an",,
FB,eye and sometimes a leg and sometimes whatever was needed.,,
SS,The kinds of injuries that men were getting therey was it mostly from bullets?,,
FB,"Well whatever it was. Mostly bullets, yes. Mostly shrapnel. Taking out shrapnel",,
FB,"all the time. Sometimes there was bleeding, we had to put a tournequet over",,
FB,"an arm or a leg or take out shrapnel from, oh some of these you just can't",,
FB,"imagine, sometimes the patient^just full of shrapnel where they'd been shot",,
FB,and we'd have to take that out. Everything that had to be done right away.,,
FB,"Something out of their eye, maybe steel out of their eye. Then we'd just put",,
FB,on the stretcher and send 'em back to the hospital.,,
SS,What did you have to operate with under those circumstances?,,
FB,They had their kits just the same as they do in the hospital. They had their,,
FB,instruments and everything. We had to sterilize them and keep them clean.,,
FB,And we'd get just big packages of sterile guaze and things like that already,,
FB,prepared.,,
