speaker,words,tags,timestamp
ES,"of course, my dad he just had the one team and wagon. So he (sold his",,
ES,"sheep andukept the team, kept his horses, he was working them anyway.",,
ES,But when they decided to ship cney told my dad if he wanted — why,,
ES,don't you just go in and we'll ship together?11 And so Dad he had to,,
ES,"sell his team, wanted to sell it, he sold it anyway so he'd have more",,
ES,"money to get out here, and he sold his outfit. But he did go back up",,
ES,into Indian Territory and he loaded up the whole family and furniture,,
ES,and everything we had and we shipped that out here. Put it in,,
ES,"and shipped that out here, up to Bluestem, Washington. And I guess",,
ES,"it was pretty nearly a year later, I wasn't here, I really don't know",,
ES,"just how long a time it was, but anyway it was quite a little while",,
ES,"after that because, we went from there on up to Mississippi to wait for",,
ES,"my younger brother to be born, my mother wasy so she could make",,
ES,"the trip.we went from Fort up to Mississippi there, I don't know",,
ES,"how long we were there, but we was in there quite a little while, sev",,
ES,"eral months anyway before we got started out here, before we got to go",,
ES,"the rest of our way. And then we came up here, as I was saying before,",,
ES,"we got shipped out to Moscow, Washington and when we got off the train",,
ES,"we was in Moscow, Idaho. And we stayed here three or four days, and",,
ES,"some people tried to get my dad to stay here, they told him that he",,
ES,couldn't make it up— that it would be awful hard for a man that's from,,
ES,the South that's been used to farming they way they do down friere and,,
ES,to come up here and try to make,,
ES,and sagebrush.,,
ES,And so there was a fellow that ran a restaurant,,
ES,"down here, about where the Chinese restaurant is now, there on Main",,
ES,"Street, down there, right in there someplace, I believe it's the same",,
ES,"place, I won't say for sure, but it was right in there, one of those",,
ES,places. And he told Father that he had a couple of nephews that had,,
ES,a place rented out from town here. He rented the place for them and,,
ES,"they lived in Spokane. And he had those nephews up there, big, husky",,
ES,"kids, fellows and so to get 'em out of town he rented this place, rented",,
ES,another they'll be of age and it for them to farm. He said in about a year they'd,,
ES,proably,,
ES,"place, they didn't like it anyway, and maybe he could get it—may",,
ES,"be my dad could rent it if they give it up. Well, my dad he wasn't much",,
ES,"interested in that, he wanted to get his own place. But, anyway, after",,
ES,"we started to go back up to Moscow, he got this fellow's address so he",,
ES,"could write to him if he did decide to get the place. And, of",,
ES,"course, this old fellow he wanted to know, he was anxious to know how",,
ES,"my dad was getting along, how he was it up here anyway, you know. And",,
ES,so we went up there and Father found us a homestead cabin out on Crab,,
ES,"Creek, it was out I don't know how many miles it was from Bluestem or",,
ES,"Moscow at that time. But our stuff that was shipped out, our furniture,",,
ES,"bedding and everything was there;.oeen there for a long time, it was",,
ES,there. So we got this cabin out on Crab Creek and moved us out there,,
ES,and got all our stuff and unpacked it.,,
SS,Was it a homestead?,,
ES,"Well, it had been. I think somebody had homesteaded and then abandoned",,
ES,it. It had a nice little house on it. Wasn't very big but we made out,,
ES,in it alright. Had the water running piped down from the side,,
ES,"hill, running water went right through the house from the spring. And",,
ES,just about the time we got settled— my dad did a little getting around,,
ES,"as much as he could. He didn't have nothing to ride, he had no way of",,
ES,"traveling, but he'd inquire around, looking around to find out what there",,
ES,"was, And finally in his travels he ran onto a cattleman by the name of",,
ES,"Warwick. He gave him a job, in fact it was Warwick that owned— had",,
ES,picked up the option on this house where we lived in. This homestead—,,
ES,"He run a bunch of cattle through there, had a lot of land, some of it",,
ES,was his and a lot of it was just open country. And so Dad went to work,,
ES,"what he found to homestead for him. And he got a horse, to look around. At that time",,
ES,what somebody,,
ES,"hadn't got was far out, and tnere was very few families. No school and my sister was",,
ES,getting,,
ES,"about ready for school and I was not too far off, I guess my sister was",,
ES,ready. And so he took that all consideration. And then finally,,
ES,this fellow wrote to him told him about— we got sick with smallpox,,
ES,"and we got over that. And of course, my dad he was a little bit disstill",,
ES,couraged over that but we all came through it OK.,,
SS,Do you remember having the smallpox?,,
ES,Yeah— I don't remember having it but I remember my little brotherthat,,
ES,we waited to be born to come out here— I remember his face was,,
ES,all blistered— I remember seeing him. I don't remember how I looked,,
ES,"more than anybody, or felt either (Chuckles) But I remember my little brother because",,
ES,"he was just a little— six months old, a little nursing baby and he",,
ES,"had blisters on his face, I remember that. Anyway, he got to looking",,
ES,"around.all the land and no school, and then he got a letter from this",,
ES,"fellow down here, this fellow wrote ana1told him that the boys was",,
ES,going to give up the place and if he thought he was interested why'Ke,,
ES,would talk to the fellow that owned it and maybe he could get it. So,,
ES,"he did that. Dad wrote back and told him, well if he could lease the",,
ES,place why he thought we'd come back to Moscow. So finally he got a,,
ES,"letter from this man— talked to the man, the fellow that owned it",,
ES,and he'd give Dad a chance on,,
SS,Do you know why your father decided not to stay here in the first place?,,
SS,Why he wanted to push on?,,
ES,"Well, he wanted to homestead, he wanted to get a place of his own.",,
ES,"And of course he didn't have no more up there than he did here either,",,
ES,"as far as that's concerned, but he'd heard so much about this country",,
ES,up there and he wanted to go back up there and get himself a homestead.,,
