speaker,words,tags,timestamp
SS,"Y'know on this Hog Heaven, was that supposed to be because they ran hogs",,
SS,in the valley.,,
LO,"Well, hogs liked to dig the camas, has been my understanding of the",,
LO,"tradition and grew very fat on the camas root. And of course, there",,
LO,no question that there was camas around here. The men called it Hog,,
LO,Heaven because it was so good for the stock.,,
SS,What about the Indians that used to camp here in the early days? Did,,
SS,you ever hear about them from your mother?,,
LO,"Not very much, she used to mention the Indains coming into the store, and",,
LO,of course she was aware of the fact that the Indian trails had run,,
LO,"through here, but she didn't have very much to say about it. In fact,",,
LO,I can't remember her mentioning them particularly except in regard to her,,
LO,red hair.,,
SS,What about what Mr.Lieuallen sold mostly and the kind of business that,,
SS,he had in those days? Have you gleaned anything from looking at those,,
SS,ledgers that he had?,,
LO,"Well, yes, I think it was pretty generalfwhat you'd expect of a country",,
LO,"store. You know, tools that were commonly used, and produce, and staples",,
LO,"4nd apparently he was taking produce in trade, taking eggs and vegetables",,
LO,"that people bought in and they got credit for and so on. Oh, fabrics,",,
LO,"and hats, and shoes, and just the whole gamut of what you'd supply if",,
LO,you were running a store in a little frontier town.,,
SS,I read that he had to go to Walla Walla to get the first stock that he,,
SS,"laid in, but I'm curious about where he would have continued to get his",,
SS,stock after that time. I wonder if he had to keep going back to Walla Walla,,
SS,since it was before the railroad came in?,,
LO,He probably did. I don't remember hearing Mother talk about that very,,
LO,much. She did talk about how he banked up at St. John because there,,
LO,"wasn't a bank here in Moscow. And he would ride horseback up to St. John,",,
LO,and when he was going was rather carefully guarded secret because he'd,,
LO,be carrying gold and didn't want to get waylaid. But I don't remember,,
LO,that she ever said very much about where he got his stock.,,
SS,"Have you heard the story that when the mail first came, it was left",,
SS,deposited there in a shoe box in the store. I guess I read that someplace.,,
SS,He started with a shoebox.,,
LO,"Yes, I think I have. Of course most of the early post offices were some",,
LO,thing similar to that. Mail would be left in somebody's home or in a,,
LO,"business, something like that, that may well be true about the shoe box.",,
SS,And then he sold his store and turned to selling land and platted,,
SS,the town of Moscow?,,
LO,"Yes, that was it. He had financial reverses. Somebody absconded with",,
LO,"money from a local bank and with a lot of records, a lot of things that",,
LO,"had been left there for safe keeping, including a great meny notes that my",,
LO,from,,
LO,grandfather had taken people who owed him money. And without the notes,,
LO,"he couldn't collect. So that, according to family tradition, he lost a",,
LO,good deal of money that way add was forced to make a choice between trying,,
LO,to maintain the store and trying to sell real estate and do that. And,,
LO,because he was so interested in building up the town he chose to do,,
LO,that and gave up the store.,,
SS,Have you heard anything about this business of him platting the town and,,
SS,then selling land?,,
LO,"No, but I imagine that that is true because Lieuallen's addition",,
LO,"is one of the sections of Moscow, and Mrs. Lieuallen, I think",,
LO,whether,,
LO,he was involved in the early platjfcing of the town. Now it extended to,,
LO,other parts of the town besides what he owned I don't know.,,
SS,"I don't know, but I thought the book said actually he platted the town",,
SS,of Moscow in 1880.,,
LO,He may have.,,
SS,Did you tell me there was something about him giving free lots to people?,,
LO,That's what my mother told me—that he would give lots free to people,,
LO,if they would build houses on them. This was a device for promoting,,
LO,building up the town. Of course at that time lots weren't very expensive,,
LO,anyhow. Lots down along Asbury and Lieuallen street probably sold for,,
LO,"thirty-five dollars, but he was interested in getting people to stay here",,
LO,and build homes for themselves.,,
SS,Do you know anything about his political convictions?,,
LO,"No, I don't. I think Mother told me he was a Democrat. And having",,
LO,"come from Tennessee, that could well be. But I don't know whether",,
LO,his convictions were very strong.,,
SS,Was it he that you told me that didn't care for his Black Republican,,
SS,cherries ?,,
LO,"No, that was my other grandfather—that was my grandfather Woodworth who",,
LO,was a very strong Democrat. And he had this cherry tree in his orchard,,
