speaker,words,tags,timestamp
JBM,come up with precisely what happened at any time or precise,,
JBM,"thing about the order of events, and things like this. This",,
JBM,"is what they're very often confused about, is the order",,
JBM,which happened. While I was interviewing on these railroads,,
JBM,"for example, I had a spread of about three years there that",,
JBM,"nobody seemed to be sure what happened, or what year the...",,
JBM,They couldn't agree on the year that the railroads were,,
JBM,"completed, for example. I knew pretty well, but still, you",,
JBM,begin to question your own information when you hear oldtimers,,
JBM,"say, ""Well no that wasn't so, something else was so.""",,
JBM,"And until I could get papers that actually showed, to prove",,
JBM,"the dates of completion, why, you have to wonder if you might",,
JBM,not be wrong about something.,,
JBM,"For example, that first meeting we held over here at",,
JBM,"the church, they argued around about this, and so-and-so",,
JBM,"says, ""Well, the excursion train came in here in 1910.""",,
JBM,"""Well no it didn't, I rode it in 1907,"" and that sort of",,
JBM,thing. When you start going back into history and inquiring,,
JBM,"what happened, there were two excursion trains, one in each",,
JBM,year--one of them commemerating the completion of the W.I.M.,,
JBM,railroad thru and the second one commemorating the junction,,
JBM,of the two railroads when the Milwaukie completed their line.,,
JBM,And both stories are true.,,
ROB,"You said you already had established a filter, some idea",,
ROB,yourself of what had happened. How much did this idea have,,
ROB,to change through that sort of...,,
JBM,"Oh, there had to be changes. There were things that",,
JBM,I had in my mind that were probably basically correct in,,
JBM,"context, but were shifted off in time, or were a little",,
JBM,wrong in some part of the details. As I would have told the,,
JBM,"details they wouldn't have been wrong, I mean, from my own",,
JBM,recollection. They wouldn't have been out of context with,,
JBM,"what happened, but they would not have been entirely factual.",,
JBM,"And these are the things you have to check on, and get as",,
JBM,"nearly factual as you can. But, as I say, it does form a",,
JBM,"framework to fill in, and you're surprised at how fast it",,
JBM,"does fill in, when you start interviews. But the time is",,
JBM,"taken, then, when you run into discrepancies.",,
JBM,And it's also taken filling in. I found that I was,,
JBM,quite unskilled at interviewing people and the first inter,,
JBM,view getting all the detail I wanted. They'd go over the,,
JBM,"information, and, for example) I didn't have a tape record",,
JBM,"er, and I'd try to sit there and take notes. And I'd end",,
JBM,"up the notes, and I'd go back and start to write something",,
JBM,"about it, and I'd find I'd missed two or three names. Well,",,
JBM,"they mentioned names there, see, and I don't have those names,",,
JBM,and so I'd have to backtrack to people and ask them again.,,
JBM,I had that sort of thin happening all the time.,,
SAM,"Do you have thoughts, from your study and your own exper",,
