speaker,words,tags,timestamp
ES,know how I managed that but somehow or other they understood. And they came,,
ES,to the house. Mother had moved the table out to the middle of the floor so,,
ES,"they could set around, there was six or eight of them. And they came in and",,
ES,"they just took the table and moved it back to where it was before, and they",,
ES,"set around in a circle on the floor, like they would in their camps, you know,",,
ES,"and had their food with 'em. Well mother had coffee made, and she put the",,
ES,"coffee pot down on the floor among them there, and brought sugar and cream",,
ES,"and a little fruit and things like that for them. And they enjoyed that, and",,
ES,"they chattered away and enjoyed themselves. Then they went away, and in the",,
ES,"fall, early fall, they came back through, why they'd stop and they would buy",,
ES,deer hides. They could tan deer hides and make moccasins and things like,,
ES,"that. So they stopped by to buy deer hides. Well we had one deer hide, and",,
ES,it happened to be a nice big one. And the price that they paid ordinarily,,
ES,"was 500 for a deer hide. But mother thought that was a pretty nice deer hide,",,
ES,so she wanted more. So she somehow or other made them understand she wanted,,
ES,"750. Then they talked among themselves awhile, and finally agreed to give",,
ES,her 750 for the deer hide. And after that they didn't come then after we had,,
ES,"fenced our land in. But we knew if they came anywhere through there, why if",,
ES,"we had deer hides, why we'd get in touch with 'em and sell the deer hide,",,
ES,"'cause they were know good to us, you know.",,
SAM,Do you think they were the same Indians that came back that were there the,,
SAM,first time?,,
ES,"Well we had a kind of a road made then, you know, through the settlement",,
ES,"towards the mountains, so they would come along that road. And that was only",,
ES,"a quarter of a mile from our house. So we knew when they came, why we'd go",,
ES,where they camped and make a deal with 'em. 'Course it was the older boys,,
ES,"that did that. I wasn't old enough to go hunting or that, but the older boys",,
ES,would manage that.,,
SAM,What do you remember about your own going fishing and hunting?,,
ES,"Well I didn't go until I was around 12, 13 years old. And by that time",,
ES,"father stayed home then, he was getting a little older. So it was just the",,
ES,older boys and I. Two of my brothers and I were the only boys home with,,
ES,"the folks then. So we would go back there horseback, go back there and hunt.",,
ES,There was one place on what was called the Long Meadow where there was four,,
ES,"big spruce trees in a kind of a group. And they were big trees, and it was",,
ES,"always cool and nice around among those trees, so we formed a camp there,",,
ES,"built a small fire to do our cooking with. And so that was called ""the camp,""",,
ES,"everybody knew where that was. So when they'd go up there to fish or so,",,
ES,why they'd bring their camp tools along and put up by those trees. So we had,,
ES,"a nice place there to camp, stay overnight there when it wasn't storming.",,
ES,"And there was still snow in the woods there, there was still snow, so when we",,
ES,"caught salmon, why we'd bury them in the snow to keep 'em fresh until^we came",,
ES,"home. So that was a change. After having venison so much, we'd have salmon.",,
ES,"And then there was partridge and grouse in the woods there, so we'd go and",,
ES,"get some of them omce in awhile, have a variety of meat, you know.",,
SAM,How did you catch the salmon? What did you use?,,
ES,Spears for salmon. A neighbor of ours had a little blacksmith shop and he,,
ES,"was handy with that kind of work, and he made spears for some of the neighbors",,
ES,around there. You'd put a long handle on that like you would a fork handle,,
ES,except it'd be longer. Then you could wade out close to the edge and stand,,
ES,and wait till some of 'em come by and then you'd grab 'em with that spear.,,
ES,"Then dress 'em up and put 'em in the snow bank, until we either wanted some",,
ES,"of it to eat, or keep till we go home. We'd stay in there a couple of days",,
ES,"or so, you know, each time. And in summer there was trout in there, mountain",,
ES,"trout. So then we'd go in there with hook and line and catch trouts, you",,
ES,know. Have our frying pans and stuff along and have trout meals a day or,,
ES,"two, and bring home some. So that was our vacation, you might call it, for",,
ES,the first few years.,,
SAM,Well how did it feel to be a boy and growing up in that country?,,
ES,"We really enjoyed it. My brother older than I, that is four years older,",,
ES,"we were together a lot, you know. In the summer we'd go back in the woods",,
ES,and pick berries and shoot grouse and pheasants and climb trees. We clumb,,
ES,a lot of trees there when we were growing up. And then of course we'd help,,
ES,father with the haying and do what we could when he was building something.,,
ES,And he would split rails and posts and then we'd help with the fencing what,,
ES,we could. And my brother of course he was soon old enough to do quite a bit,,
ES,"of work. And before we got any land broke up for hay, the wild grass grew",,
ES,"tall in the woods then, and out in the open. There were no cattle running",,
ES,"on the range there you know, so the grass grew. And father had a good scythe",,
ES,and he was pretty handy with that. And he would cut grass around in the,,
ES,"openings, and my brother and I would follow with a rake apiece, and rake it",,
ES,"up with hand rakes, you know, and then get the wagon and haul it home.",,
SAM,That made good feed for the cows?,,
ES,"Well it wasn't quite as good as oat hay would be, but we had lots of. it.",,
ES,"We only had two cows forseveral years, so we had plenty of it. I know he",,
ES,"had built a barn attached to the stable, and we had quite a lot of hay up in",,
ES,"there. One winter we ran short of hay, and the cows like the moss that grew",,
ES,"on the trees, you know. So when the snow wasn't deep, why when we'd turn 'em",,
ES,out they'd go out there and eat moss. And then they'd have hay in the mangers,,
ES,"in the evening again and some in the morning. When the snow got deep, why",,
ES,see father and my next older brother—he was about 18 years old the second,,
ES,"year we were there—so he and father would fall trees, and my brother Adolph",,
ES,"and I, we took gunny sacks up there and picked moss and put in the sacks and",,
ES,carried it down to the haymow and put it in there. It was only just a short,,
ES,"time until spring came, snow went down, and the cows would be out in the",,
ES,woods and forage around. So we managed some way.,,
SAM,When would your winter come in those days? When would the winter come and,,
SAM,snow come to stay?,,
ES,"Oh, latter part of October. And we would get around three feet of snow",,
ES,"during the winter, but very little drifting, because there was so much timber",,
ES,further west where most of the wind came. So we didn't have any trouble with,,
ES,"snowdrifts to speak of. But we had to shovel snow to get out to the road, to",,
ES,"the other road, when the snow got deep, to get out to town. And Troy was our",,
ES,"shopping place then, and we'd leave home about three o'clock in the morning",,
ES,"with team and a sled, get to Troy about ten o'clock, and let the horse eat and",,
ES,"rest 'em until about four in the afternoon, so they were rested for the trip",,
ES,back. And we'd get home about ten o'clock at night. But then after that,,
ES,"the horses wouldn't have work to do then for some time, so they had time to",,
ES,"rest up again,",,
SAM,Which road was this that you would take?,,
ES,That would be the second road that was built across the canyon. The first,,
ES,"road didn't amount to anything. The second road, it took about a whole summer",,
ES,to build that.,,
SAM,"Yeah, you were telling me about the building of that.",,
ES,"Yeah, so we would go out that way.",,
SAM,"Well tell me, what did Troy look like to you as a boy?",,
ES,Well Troy was first built up only about a year before we came to Idaho.,,
ES,"So there was almost nothing there. But there was a grocery store, so the",,
ES,"folks could buy what they needed. So they didn't go to Troy very often, but",,
ES,"like in the fall, shortly before Christmas, they'd go out and supply up for",,
ES,"the winter, you know, with groceries and things. And we had only coal oil lamp",,
ES,"for lights in the house, so they'd but a five gallon can of coal oil, or",,
ES,"kerosene they called it, and that would do for light for most of the winter.",,
ES,And my folks had learned to card and spin wool. They would buy the wool and,,
ES,"clean it up and card it, and mother had a spinning wheel, so ahe would spin",,
ES,"the yarn. And she knew how to do knitting, you know, so she would knit socks",,
ES,"and mittens for us kids, that we had for the winter. When the outside work",,
ES,"was done, why then both father and mother would card the wool. They had two",,
ES,"sets of cards, they called it, that's the rig you put the wool on—it has",,
ES,"fine teeth on it, about half inch long. And they would lay the wool, and take",,
ES,"a handful or so and spread it out on the one card, have it turned up, and",,
ES,"then they'd turn the other card down, and pull 'em back, back and forth, like",,
ES,if you were combing hair or something. And get the wool all straightened up,,
ES,"into nice bunches for spinning then, you know.",,
ES,"And father's work with us boys, we would cut down trees and cut up for",,
ES,"wood for the year during the winter, so we had none of that to do in the summer.",,
ES,"When I got old enough to help with a crosscut saw, then my brother Adolph and",,
ES,"I would do the sawing, and father split it into wood, you know, kitchen wood.",,
