speaker,words,tags,timestamp
ML,"The familyNso small, they one or two living, they go into their friends",,
ML,They go into the store and with friend.,,
MLL,"And don't forget, most of these stores are food stores. Now, how",,
MLL,about that? Anybody ever run any kind of a country store with dish,,
MLL,towels and a few underwears and stuff like that? I don't remember,,
MLL,seeing.,,
ML,"Yes. Yeah, they do.",,
SS,What store would supply the clothing?,,
ML,Clothing. You get overalls there. You get shoes there.,,
MLL,I think that kind of a store is almost like a department store. Run,,
MLL,by more than one family.,,
ML,"No, they don't handle everything, but they handle a few. You know",,
ML,"Chinese people like to wear Chinese shoes, Chinese slippers, kind of",,
ML,like.,,
MLL,They got what they call -Aand Chinese slippers. It s a soft,,
MLL,material slippers with leather soles. You mean that kind of high?—,,
ML,Kind of high. They ship all those in.,,
MLL,They ship those in. They kind of high.,,
SS,What about work clothes?,,
ML,They do work in overalls. At that time in Walla Walla there wasn't,,
ML,"too many stores in the main part of Walla Walla. See, at that time",,
ML,the - lot of.Chinese worked in the Chinese gardens and don t speak,,
ML,"English. So then, naturally they go and buy from the stores there.",,
ML,"Chinese people from Chinese, see. So, really it's accommodation,",,
ML,really.,,
MLL,"So they give 'em credit for the whole year, and that's a help, too,",,
MLL,you know. When a family is poor to start with,,
MLL,"and they don't collect the, well— day by day maybe they got a little",,
MLL,"bit, you know, but not very much, but maybe at the end of the year",,
MLL,"they got the: biggest crops, you know. In the fall they harvest the",,
MLL,"big crop. This building was still there until about five years ago,",,
MLL,"until they tore it down. At that time you know, they hid men call us",,
MLL,up to see if we're interested in that you know. We and,,
MLL,a few other ones that could do it. Mi say it too far from Moscow and,,
MLL,"we don't want to have too much to do with them, besides, if we take",,
MLL,"it over— we and two, three friends take it over, some of the other",,
MLL,"families, say, ""Boy, those guys really got a bargain."" So we just let",,
MLL,that go by.,,
SS,Were there still headmen left in the community?,,
MLL,Yes.,,
ML,That building was kind of a— everybody donate some money. Just,,
ML,"kind of a corporation, except it isn't written down like a corporation.",,
ML,"But when they built the building, need money, you say, ""I donate you,""",,
ML,"I mean, not donate, they give it back to you, ""I lend you the hundred",,
ML,"dollars."" Then they charge rent, and then.pay you back with interest,",,
ML,"see. If the thing do good, then you get more, if the thing don't do",,
ML,"so good, why, then you might have to lose a little bit of the-what do",,
ML,"you call it? See. The earlier ones, I think they made a little bit of",,
ML,"money, but the latter ones didn't. Because after the war, World War II",,
ML,"well, see the Chinese people start migrating down to California. All",,
ML,"the gardeners up there because the season is not quite that long, you",,
ML,"see, and that's all they know is to truck garden, so they all start",,
