speaker,words,tags,timestamp
AB,y'know gets pretty tame if they are chased by dogs or coyote.,,
SS,"Do you think he was coming to you for help, or was he just confused?",,
AB,I think he was a^comin' to me for help. Because when I knocked hell out,,
AB,"of the dog and chased the dog out, by god the deer crawled through the fence",,
AB,"and followed me right up to the barn. No, and a time or two there's been",,
AB,"other deer y'know that have run up to fellers that way, that'd been chased",,
AB,"by dogs or coyotes. Now up there at Helmet Ross, there was a deer that come",,
AB,"in there, and she got tamer than the dickens. And she got so she'd come in",,
AB,the house and jump into the bed and sleep in bed. Oh a deer tames right down,,
AB,"fast. They had a tame deer in Deary one year, that damn thing you know was",,
AB,"just as tame as it could be. God, that'd follow you all over.",,
SS,Was the deer just loose in Deary?,,
AB,"Yeah. Yeah, somebody had killed the mother of this fawn, and the game",,
AB,"warden took into Deary and raised it there. And boy it got so damn tame,",,
AB,"you know, it just wanted to come in the houses and everyplace else. No, you",,
AB,"take a deer, you know, they go to a person for protection if they are bothered",,
AB,too much.,,
SS,Do you think a deer has to be a fawn to get really tame?,,
AB,"No, I think they can get pretty tame if they're pretty grown. Well had one",,
AB,"doe here, I think she'd been around some barns during the winter and been fed",,
AB,with cattle—she was so tame I could go as close to her as from here to the,,
AB,radio and stand and talk to her. But she wouldn't let me touch her. She,,
AB,"was around here for two, three years, but I think finally somebody killed her.",,
AB,But she was really tame. I wouldn't have shot her on a bet. She was my best,,
AB,"friend. No, they can get pretty friendly when they are around people.",,
SS,Do you think deer are pretty smart?,,
AB,Well I know they ain't dumb by any means. They are pretty smart all right.,,
AB,I know they can make a fool out of a person damned easy in the woods. A,,
AB,deer has made a fool of lots of hunters. (Pause.) I got a book from Ed Halseth,,
AB,"yesterday, but you couldn't read that, it's Norwegian.",,
SS,"You're right, I can't make out a word. I bet you can read it pretty good",,
SS,though.,,
AB,Oh I can read it all right.,,
SS,"Could you read me a little bit of it, so I could hear how it sounds?",,
AB,"Oh, I don't know. (Pause. He reads a few words.) Oh heck, if I could",,
AB,"see it I could read it all right, but it's all blurred so bad.",,
SS,"Could you speak a little to me then, not reading? Say something to me in",,
SS,Norwegian?,,
AB,(He recites.) That was Swede I spoke now. There's just one thing Iwish,,
AB,"I'd done, that I'd went back to Denmark and then went around by Stockholm,",,
AB,"Sweden, and back up through Norway. Because I could talk to all of them. I",,
AB,"could get along pretty good with Denmark, and I could get along with the",,
AB,"in Sweden. And the real Swedish language, I could get along pretty",,
AB,"good with them because I could read that. And Norwegian, I could read that",,
AB,if I could see it.,,
SS,Is there much difference between Norwegians and Swedes?,,
AB,Oh there's quite a lot of difference in the pronounciation. But Denmark,,
AB,"and Norway uses the book, the language. Denmark y'know and Norway",,
AB,used to be one country at one time.,,
SS,"What about the people Arthur, the Swedes and the Norwegians? Were they very",,
SS,much alike? Did they have a lot in common when they came over here?,,
AB,"Oh yeah, they get along pretty good. You take the Lutherm church down here",,
AB,"that they started down below Deary, you know about half of the people that",,
AB,joined it was Swedes. There is lots of Swedes buried in that Lutheran,,
AB,cemetery down there. I think there is more Swedes than Norwegians buried,,
AB,down there.,,
SS,"Well there were more Swedes than Norwegians that come out here, weren't",,
SS,there?,,
AB,"Yeah, well from Deary down towards Troy it was more Swedes than Norwegians.",,
SS,Why did your family leave Norway and come out here?,,
AB,"Oh, I don't know. Times pretty hard back there. And dad, y'know the place",,
AB,"that dad had there, his father and his grandfather was all born on the place. And",,
AB,dad was born on the,,
AB,place and I was born in the house. So that's a pretty old house.,,
SS,"Was there any difference, Arthur, in the customs between the Swedes and the",,
SS,Norwegians over here?,,
AB,"Oh, not a great deal. They got along pretty good. And there wasn't too",,
AB,"much difference. Yah, you know, that down in around in Troy they had all",,
AB,kinds of weather at one time down there. There was one fella by the name,,
AB,"Winter, and one by the name Summer, and one by the name Storm. So they had",,
AB,"winter, summer, and storm all at one time down there (laughs).",,
SS,"Can you remember any of the customs that your family kept, that were",,
